单号,时间,配送状况
495625968611,未找到时间,送り状未登録
495625973356,未找到时间,送り状未登録
495625975821,未找到时间,送り状未登録
495625972192,未找到时间,送り状未登録
495625972623,未找到时间,送り状未登録
495625970685,未找到时间,送り状未登録
495625971175,未找到时间,送り状未登録
495625992702,未找到时间,送り状未登録
495627415905,未找到时间,送り状未登録
495627415091,未找到时间,送り状未登録
495627409152,未找到时间,送り状未登録
495627409255,未找到时间,送り状未登録
495625974222,未找到时间,送り状未登録
495625982843,未找到时间,送り状未登録
495625975202,未找到时间,送り状未登録
495625974255,未找到时间,送り状未登録
495625981174,未找到时间,送り状未登録
495625982600,未找到时间,送り状未登録
495625975526,未找到时间,送り状未登録
495625979343,未找到时间,送り状未登録
495625973592,未找到时间,送り状未登録
495625293015,未找到时间,送り状未登録
495626584235,未找到时间,送り状未登録
495627276001,未找到时间,送り状未登録
495627275765,未找到时间,送り状未登録
495627078656,未找到时间,送り状未登録
495625747385,未找到时间,送り状未登録
495626043382,未找到时间,送り状未登録
495626043721,未找到时间,送り状未登録
495626217870,未找到时间,送り状未登録
495625977722,未找到时间,送り状未登録
495625987043,未找到时间,送り状未登録
495625972660,未找到时间,送り状未登録
495625976053,未找到时间,送り状未登録
495625974395,未找到时间,送り状未登録
495625971352,未找到时间,送り状未登録
495625971293,未找到时间,送り状未登録
495625970781,未找到时间,送り状未登録
495625982471,未找到时间,送り状未登録
495625975762,未找到时间,送り状未登録
495625975445,未找到时间,送り状未登録
495625973533,未找到时间,送り状未登録
495625976005,未找到时间,送り状未登録
495626042811,未找到时间,送り状未登録
495626655156,未找到时间,送り状未登録
495630261335,未找到时间,送り状未登録
495625331261,未找到时间,送り状未登録
495627079301,未找到时间,送り状未登録
495627079286,未找到时间,送り状未登録
495625977766,未找到时间,送り状未登録
495625959345,未找到时间,送り状未登録
495626850670,未找到时间,送り状未登録
495625611154,12月11日(水)14時15分 引渡完了,配達完了
495628553582,未找到时间,送り状未登録
495625331331,未找到时间,送り状未登録
495627723533,12月10日(火)12時45分 引渡完了,配達完了
495625741391,12月9日(月)15時21分 引渡完了,配達完了
495625299245,12月10日(火)16時54分 引渡完了,配達完了
495625769214,12月9日(月)16時54分 引渡完了,配達完了
